pokemon,ability,is_hidden,slot,description
bulbasaur,Overgrow,No,1,Strengthens grass moves to inflict 1.5× damage at 1/3 max HP or less.
bulbasaur,Chlorophyll,Yes,3,Doubles Speed during strong sunlight.
ivysaur,Overgrow,No,1,Strengthens grass moves to inflict 1.5× damage at 1/3 max HP or less.
ivysaur,Chlorophyll,Yes,3,Doubles Speed during strong sunlight.
venusaur,Overgrow,No,1,Strengthens grass moves to inflict 1.5× damage at 1/3 max HP or less.
venusaur,Chlorophyll,Yes,3,Doubles Speed during strong sunlight.
charmander,Blaze,No,1,Strengthens fire moves to inflict 1.5× damage at 1/3 max HP or less.
charmander,Solar Power,Yes,3,Increases Special Attack to 1.5× but costs 1/8 max HP after each turn during strong sunlight.
charmeleon,Blaze,No,1,Strengthens fire moves to inflict 1.5× damage at 1/3 max HP or less.
charmeleon,Solar Power,Yes,3,Increases Special Attack to 1.5× but costs 1/8 max HP after each turn during strong sunlight.
charizard,Blaze,No,1,Strengthens fire moves to inflict 1.5× damage at 1/3 max HP or less.
charizard,Solar Power,Yes,3,Increases Special Attack to 1.5× but costs 1/8 max HP after each turn during strong sunlight.
squirtle,Torrent,No,1,Strengthens water moves to inflict 1.5× damage at 1/3 max HP or less.
squirtle,Rain Dish,Yes,3,Heals for 1/16 max HP after each turn during rain.
wartortle,Torrent,No,1,Strengthens water moves to inflict 1.5× damage at 1/3 max HP or less.
wartortle,Rain Dish,Yes,3,Heals for 1/16 max HP after each turn during rain.
blastoise,Torrent,No,1,Strengthens water moves to inflict 1.5× damage at 1/3 max HP or less.
blastoise,Rain Dish,Yes,3,Heals for 1/16 max HP after each turn during rain.
caterpie,Shield Dust,No,1,Protects against incoming moves' extra effects.
caterpie,Run Away,Yes,3,Ensures success fleeing from wild battles.
metapod,Shed Skin,No,1,Has a 33% chance of curing any major status ailment after each turn.
butterfree,Compound Eyes,No,1,Increases moves' accuracy to 1.3×.
butterfree,Tinted Lens,Yes,3,Doubles damage inflicted with not-very-effective moves.
weedle,Shield Dust,No,1,Protects against incoming moves' extra effects.
weedle,Run Away,Yes,3,Ensures success fleeing from wild battles.
kakuna,Shed Skin,No,1,Has a 33% chance of curing any major status ailment after each turn.
beedrill,Swarm,No,1,Strengthens bug moves to inflict 1.5× damage at 1/3 max HP or less.
beedrill,Sniper,Yes,3,Strengthens critical hits to inflict 3× damage rather than 2×.
pidgey,Keen Eye,No,1,Prevents accuracy from being lowered.
pidgey,Tangled Feet,No,2,Doubles evasion when confused.
pidgey,Big Pecks,Yes,3,Protects against Defense drops.
pidgeotto,Keen Eye,No,1,Prevents accuracy from being lowered.
pidgeotto,Tangled Feet,No,2,Doubles evasion when confused.
pidgeotto,Big Pecks,Yes,3,Protects against Defense drops.
pidgeot,Keen Eye,No,1,Prevents accuracy from being lowered.
pidgeot,Tangled Feet,No,2,Doubles evasion when confused.
pidgeot,Big Pecks,Yes,3,Protects against Defense drops.
rattata,Run Away,No,1,Ensures success fleeing from wild battles.
rattata,Guts,No,2,Increases Attack to 1.5× with a major status ailment.
rattata,Hustle,Yes,3,"Strengthens physical moves to inflict 1.5× damage, but decreases their accuracy to 0.8×."
raticate,Run Away,No,1,Ensures success fleeing from wild battles.
raticate,Guts,No,2,Increases Attack to 1.5× with a major status ailment.
raticate,Hustle,Yes,3,"Strengthens physical moves to inflict 1.5× damage, but decreases their accuracy to 0.8×."
spearow,Keen Eye,No,1,Prevents accuracy from being lowered.
spearow,Sniper,Yes,3,Strengthens critical hits to inflict 3× damage rather than 2×.
fearow,Keen Eye,No,1,Prevents accuracy from being lowered.
fearow,Sniper,Yes,3,Strengthens critical hits to inflict 3× damage rather than 2×.
ekans,Intimidate,No,1,Lowers opponents' Attack one stage upon entering battle.
ekans,Shed Skin,No,2,Has a 33% chance of curing any major status ailment after each turn.
ekans,Unnerve,Yes,3,Prevents opposing Pokémon from eating held Berries.
arbok,Intimidate,No,1,Lowers opponents' Attack one stage upon entering battle.
arbok,Shed Skin,No,2,Has a 33% chance of curing any major status ailment after each turn.
arbok,Unnerve,Yes,3,Prevents opposing Pokémon from eating held Berries.
pikachu,Static,No,1,Has a 30% chance of paralyzing attacking Pokémon on contact.
pikachu,Lightning Rod,Yes,3,"Redirects single-target electric moves to this Pokémon where possible.  Absorbs Electric moves, raising Special Attack one stage."
raichu,Static,No,1,Has a 30% chance of paralyzing attacking Pokémon on contact.
raichu,Lightning Rod,Yes,3,"Redirects single-target electric moves to this Pokémon where possible.  Absorbs Electric moves, raising Special Attack one stage."
sandshrew,Sand Veil,No,1,Increases evasion to 1.25× during a sandstorm.  Protects against sandstorm damage.
sandshrew,Sand Rush,Yes,3,Doubles Speed during a sandstorm.  Protects against sandstorm damage.
sandslash,Sand Veil,No,1,Increases evasion to 1.25× during a sandstorm.  Protects against sandstorm damage.
sandslash,Sand Rush,Yes,3,Doubles Speed during a sandstorm.  Protects against sandstorm damage.
nidoran-f,Poison Point,No,1,Has a 30% chance of poisoning attacking Pokémon on contact.
nidoran-f,Rivalry,No,2,"Increases damage inflicted to 1.25× against Pokémon of the same gender, but decreases damage to 0.75× against the opposite gender."
nidoran-f,Hustle,Yes,3,"Strengthens physical moves to inflict 1.5× damage, but decreases their accuracy to 0.8×."
nidorina,Poison Point,No,1,Has a 30% chance of poisoning attacking Pokémon on contact.
nidorina,Rivalry,No,2,"Increases damage inflicted to 1.25× against Pokémon of the same gender, but decreases damage to 0.75× against the opposite gender."
nidorina,Hustle,Yes,3,"Strengthens physical moves to inflict 1.5× damage, but decreases their accuracy to 0.8×."
nidoqueen,Poison Point,No,1,Has a 30% chance of poisoning attacking Pokémon on contact.
nidoqueen,Rivalry,No,2,"Increases damage inflicted to 1.25× against Pokémon of the same gender, but decreases damage to 0.75× against the opposite gender."
